"experiment","acte","scene","version","chunk","verse_id","char","text","selected"
"mml06","1","4","modern","0","103","LUCAS","Parguenne! On s'est mis dans une sacrée galère tous les deux, et je ne sais pas comment on va s'en sortir.","0"
"mml07","1","4","modern","0","103","LUCAS","Bon sang ! On s'est embarqué dans une sacrée mission, et je ne sais pas du tout ce qu'on va attraper.","0"
"mml_manual","1","4","modern","0","103","LUCAS","Bon sang! On s'est mis dans une sacrée galère tous les deux, et je ne sais pas comment on va s'en sortir.","1"
"mml06","1","4","original","0","103","LUCAS","Parguenne! j'avons pris là tous deux une gueble de commission; et je ne sai pas, moi, ce que je pensons attraper.","0"
"mml06","1","4","modern","0","104","VALÈRE","Que veux-tu, mon pauvre ami? On doit obéir à notre maître et on a tous les deux intérêt à ce que sa fille, notre maîtresse, soit en bonne santé. Si elle guérit, peut-être qu'on sera récompensé quand elle se mariera. Horace est généreux et il est ouvert à toutes les propositions, même si sa fille a montré de l'affection pour un certain Léandre. Mais son père n'a jamais voulu qu'il épouse sa fille.","1"
"mml07","1","4","modern","0","104","VALÈRE","Que veux-tu, mon pauvre ami ? Il faut bien obéir à notre maître. Et puis, on a tous les deux intérêt à la santé de sa fille, notre maîtresse. Et sûrement, si son mariage est retardé à cause de sa maladie, on aura une récompense. Horace, qui est généreux, est ouvert aux prétentions qu'on peut avoir sur sa personne. Et même si elle a montré de l'amitié pour un certain Léandre, tu sais bien que son père n'a jamais voulu accepter qu'il devienne son gendre.","0"
"mml06","1","4","original","0","104","VALÈRE","Que veux-tu, mon pauvre nourricier? il faut bien obéir à notre maître; et puis nous avons intérêt l'un et l'autre à la santé de sa fille, notre maîtresse; et sans doute son mariage, différé par sa maladie, nous vaudroit quelque récompense. Horace, qui est libéral, a bonne part aux prétentions qu'on peut avoir sur sa personne, et, quoi-qu'elle ait fait voir de l'amitié pour un certain Léandre, tu sais bien que son père n'a jamais voulu consentir à le recevoir pour son gendre.","0"
"mml06","1","4","modern","0","105","MARTINE","en pensant à voix haute. Comment pourrais-je me venger?","1"
"mml07","1","4","modern","0","105","MARTINE","en pensant à voix basse. Ne pourrais-je pas trouver un moyen de me venger ?","0"
"mml06","1","4","original","0","105","MARTINE","rêvant à part elle. Ne puis-je point trouver quelque invention pour me venger?","0"
"mml06","1","4","modern","0","106","LUCAS","Mais quelle idée t'a traversé l'esprit? Les médecins n'ont pas réussi à la guérir, alors comment pourrions-nous y arriver?","0"
"mml07","1","4","modern","0","106","LUCAS","Mais quelle idée lui est passée par la tête, puisque même les médecins ont tous perdu leur latin là-dessus ?","1"
"mml06","1","4","original","0","106","LUCAS","Mais quelle fantaisie s'est-il boutée là dans la tête, puisque les médecins y avont tous pardu leur latin?","0"
"mml06","1","4","modern","0","107","VALÈRE","Parfois, à force de chercher, on finit par trouver. Et parfois, les solutions les plus simples sont les meilleures...","0"
"mml07","1","4","modern","0","107","VALÈRE","Parfois, à force de chercher, on trouve ce qu'on ne trouve pas tout de suite. Et souvent, dans des endroits simples...","1"
"mml06","1","4","original","0","107","VALÈRE","On trouve quelquefois, à force de chercher, ce qu'on ne trouve pas d'abord; et souvent, en de simples lieux...","0"
"mml06","1","4","modern","0","108","MARTINE","Je dois me venger, peu importe le prix à payer. Ces coups de bâton m'ont fait mal et je ne peux pas les oublier. (Elle parle en se retournant et en heurtant les deux hommes.) Oh, pardon Messieurs, je ne vous avais pas vus. J'étais perdue dans mes pensées.","1"
"mml06","1","4","modern","1","108","MARTINE","Ouais, je dois me venger à tout prix","0"
"mml07","1","4","modern","0","108","MARTINE","Oui, il faut que je me venge, peu importe le prix. Ces coups de bâton me font mal, je ne peux pas les digérer, et... (Elle dit tout cela en se retournant, sans faire attention aux deux hommes, et les heurte en leur disant","0"
"mml06","1","4","original","0","108","MARTINE","Oui, il faut que je m'en venge à quelque prix que ce soit","0"
"mml06","1","4","modern","0","109","VALÈRE","Chacun a ses soucis dans la vie. Nous cherchons un médecin qui pourrait aider la fille de notre maître. Elle a perdu l'usage de la parole à cause d'une maladie. Plusieurs médecins ont essayé de la soigner, mais sans succès. Nous cherchons quelqu'un qui aurait un remède miracle.","0"
"mml06","1","4","modern","1","109","VALÈRE","Tout le monde a ses soucis, nous cherchons un médecin spécialisé qui pourrait aider la fille de notre maître. Elle a perdu l'usage de la langue à cause d'une maladie. Nous avons déjà consulté plusieurs médecins, mais aucun n'a réussi à la guérir. Nous cherchons quelqu'un qui a des remèdes secrets et qui peut faire ce que les autres ne peuvent pas.","0"
"mml07","1","4","modern","0","109","VALÈRE","Chacun a ses soucis dans ce monde, et nous cherchons aussi ce que nous aimerions trouver.","1"
